製品名,プラットフォーム,更新日,ダウンロード
Azure Data Catalog,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Data_Catalog_Win32_VPATJ01530.xlsx"
Azure Data Explorer (Kusto),Web,2026/06/07,"https://vpatj.azurewebsites.net/file/Azure_Data_Explorer_Kusto_Web_VPATJ01531.xlsx"
Azure Data Factory,Azure,2025/10/10,"https://vpatj.azurewebsites.net/file/Azure_Data_Factory_VPATJ01550.xlsx"
Azure Data Factory,Web,2025/10/10,"https://vpatj.azurewebsites.net/file/Azure_Data_Factory_Web_VPATJ01560.xlsx"
Azure Data Lake Storage Gen1,Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Data_Lake_Storage_Gen1_Web_VPATJ01570.xlsx"
"Azure Data Lake Store, Azure Data Lake Analytics",Web,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Data_Lake_Store_Azure_Data_Lake_Analytics_Web_VPATJ01580.xlsx"
Azure Data Lake Tools for Visual Studio,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Data_Lake_Tools_for_Visual_Studio_Win32_VPATJ01590.xlsx"
Azure Data Manager for Agriculture,Azure,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Data_Manager_for_Agriculture_VPATJ01600.xlsx"
Azure Data Manager for Energy,Azure,2025/07/11,"https://vpatj.azurewebsites.net/file/Azure_Data_Manager_for_Energy_VPATJ01610.xlsx"
Azure Data Movement,Win32,2024/05/14,"https://vpatj.azurewebsites.net/file/Azure_Data_Movement_Win32_VPATJ01620.xlsx"
